Round,Institute,PG Program,Group,Category,Max GATE Score,Min GATE Score
Round 1,Motilal Nehru National Institute of Technology Allahabad,Transportation Engineering,G1,OPEN,589,454
Round 1,Motilal Nehru National Institute of Technology Allahabad,Power System,G1,EWS,344,333
Round 1,National Institute of Technology Agartala,Artificial Intelligence,G1,OBC-NCL,382,368
Round 1,National Institute of Technology Agartala,Automotive Engineering,G1,OPEN,395,395
Round 1,National Institute of Technology Agartala,Environmental Engineering,G1,SC,255,218
Round 1,National Institute of Technology Agartala,Data Science & Engineering,G1,EWS,329,329
Round 1,National Institute of Technology Agartala,Structural Engineering,G1,SC,315,280
Round 1,National Institute of Technology Agartala,VLSI Design,G1,SC,346,243
Round 1,National Institute of Technology Calicut,Environmental Geotechnology,G1,OBC-NCL,403,391
Round 1,National Institute of Technology Calicut,Instrumentation & Control Systems,G1,OPEN,536,446
Round 1,National Institute of Technology Calicut,Instrumentation & Control Systems,G1,SC,243,236
Round 1,National Institute of Technology Calicut,Industrial Engineering & Management,G1,SC,319,292
Round 1,National Institute of Technology Calicut,Machine Design,G1,ST,289,289
Round 1,National Institute of Technology Calicut,Manufacturing Technology,G1,EWS,402,338
Round 1,National Institute of Technology Calicut,Manufacturing Technology,G1,OPEN,490,433
Round 1,National Institute of Technology Calicut,Nanotechnology,G1,EWS,320,320
Round 1,National Institute of Technology Calicut,Nanotechnology,G1,OPEN,430,353
Round 1,National Institute of Technology Calicut,Power Systems,G1,EWS,389,367
Round 1,National Institute of Technology Calicut,Power Systems,G1,OPEN,435,401
Round 1,National Institute of Technology Calicut,Telecommunication,G1,SC,314,314
Round 1,National Institute of Technology Calicut,Computer Science & Engineering (Information Security),G1,SC,420,412
Round 1,National Institute of Technology Delhi,Power Electronics & Drives,G1,EWS,350,350
Round 1,National Institute of Technology Delhi,Computer Science & Engineering,G1,OBC-NCL,528,512
Round 1,National Institute of Technology Delhi,Computer Science & Engineering (Analytics),G1,ST,284,284
Round 1,National Institute of Technology Durgapur,Next Generation Communication and Networks,G1,SC,235,231
Round 1,National Institute of Technology Durgapur,Thermal Engineering,G1,OPEN,440,355
Round 1,National Institute of Technology Hamirpur,Computer Science & Engineering (Artificial Intelligence),G1,EWS,449,423
Round 1,National Institute of Technology Hamirpur,Computer Science & Engineering,G1,OPEN,551,476
Round 1,"National Institute of Technology Karnataka, Surathkal",Computational and Data Science,G1,SC,581,449
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Science & Engineering,G1,EWS,423,412
Round 1,Malaviya National Institute of Technology Jaipur,Chemical Engineering,G1,ST,308,308
Round 1,Malaviya National Institute of Technology Jaipur,Earthquake Engineering,G1,ST,304,304
Round 1,Malaviya National Institute of Technology Jaipur,Power Electronics & Drives,G1,EWS,333,333
Round 1,Malaviya National Institute of Technology Jaipur,Renewable Energy,G1,OPEN,493,401
Round 1,Malaviya National Institute of Technology Jaipur,Transportation Engineering,G1,OPEN,554,470
Round 1,Malaviya National Institute of Technology Jaipur,Thermal Engineering,G1,EWS,386,386
Round 1,Malaviya National Institute of Technology Jaipur,VLSI Design,G1,SC,364,339
Round 1,Malaviya National Institute of Technology Jaipur,Water Resources Engineering,G1,OPEN,430,386
Round 1,Maulana Azad National Institute of Technology Bhopal,Artificial Intelligence,G2,OBC-NCL,585,554
Round 1,Maulana Azad National Institute of Technology Bhopal,Bioinformatics,G1,EWS,318,304
Round 1,Maulana Azad National Institute of Technology Bhopal,Chemical Engineering,G1,SC,183,183
Round 1,Maulana Azad National Institute of Technology Bhopal,Environmental Engineering,G1,OPEN,768,366
Round 1,Maulana Azad National Institute of Technology Bhopal,Industrial Design,G1,OPEN,406,366
Round 1,Maulana Azad National Institute of Technology Bhopal,Industrial Design,G1,ST,258,258
